,Long Phones,Number of Identical Phonemes,Number of Identical Stresses,Long Stresses,Similar Pairs Phoneme,Short Stresses,Error Word Pronunciations,Error Word,Similar Pairs Stress,Stress Evaluation,Correct Word Pronunciations,Short Phones,Phoneme Evaluation,Correct word
0,5,4,1,1,[],1,"[['W', 'IH1', 'N', 'D', 'Z'], ['W', 'AY1', 'N', 'D', 'Z']]",winds,"[('AY1', 'IH1')]","STRESS SIMILARITY
","[['W', 'AY1', 'N', 'D'], ['W', 'IH1', 'N', 'D']]",4,"MINOR LEXICAL
",wind
1,2,2,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,[],"STRESS SIMILARITY
","[['T', 'UW1']]",2,"HOMOPHONES
",too
2,4,1,1,1,"[('S', 'TH'), ('EH1', 'IH1')]",1,"[['S', 'EH1', 'N', 'D']]",send,"[('S', 'TH'), ('EH1', 'IH1')]","STRESS SIMILARITY
","[['TH', 'IH1', 'N']]",3,"PHONETIC SIMILARITY
",thin
3,6,4,2,3,"[('D', 'N')]",2,"[['S', 'AE1', 'T', 'ER0', 'D', 'IY0'], ['S', 'AE1', 'T', 'IH2', 'D', 'EY2']]",Saturday,"[('D', 'N')]","STRESS SIMILARITY
","[['S', 'AE1', 'T', 'ER0', 'N']]",5,"MINOR LEXICAL
",Saturn
4,0,0,0,2,[],2,"[['R', 'IH0', 'Z', 'AH1', 'L', 'T', 'S'], ['R', 'IY0', 'Z', 'AH1', 'L', 'T', 'S']]",results,"[('R', 'Filler'), ('IY0', 'W'), ('Z', 'IY1'), ('AH1', 'K'), ('L', 'UH1'), ('T', 'D')]","NO STRESS SIMILARITY
","[['Filler', 'W', 'IY1', 'K', 'UH1', 'D']]",0,"PHONETIC SIMILARITY
",%HESITATION we could
5,7,2,2,3,"[('AH0', 'AO1'), ('N', 'OW0')]",2,"[['AH0', 'G', 'EH1', 'N'], ['AH0', 'G', 'EY1', 'N']]",again,"[('AH0', 'AO1'), ('EY1', 'S'), ('N', 'OW0')]","STRESS SIMILARITY
","[['AO1', 'L', 'S', 'OW0', 'G', 'EH1', 'T'], ['AO1', 'L', 'S', 'OW0', 'G', 'IH1', 'T']]",4,"PHONETIC SIMILARITY
",also get
6,0,0,1,2,[],1,"[['D', 'OW1', 'N', 'T'], ['D', 'OW1', 'N']]",don't,"[('D', 'W'), ('OW1', 'IY1'), ('N', 'K')]","STRESS SIMILARITY
","[['W', 'IY1', 'K', 'UH1', 'D']]",0,"PHONETIC SIMILARITY
",we could
7,7,3,2,3,"[('F', 'AO1'), ('ER0', 'L')]",2,"[['F', 'ER0', 'G', 'EH1', 'T'], ['F', 'AO0', 'R', 'G', 'EH1', 'T']]",forget,"[('F', 'AO1'), ('ER0', 'L'), ('EH1', 'OW0')]","STRESS SIMILARITY
","[['AO1', 'L', 'S', 'OW0', 'G', 'EH1', 'T'], ['AO1', 'L', 'S', 'OW0', 'G', 'IH1', 'T']]",5,"PHONETIC SIMILARITY
",also get
8,4,3,2,2,"[('AW1', 'OW1')]",2,"[['AH0', 'B', 'AW1', 'T']]",about,"[('AW1', 'OW1')]","STRESS SIMILARITY
","[['AH0', 'B', 'OW1', 'T'], ['EY1', 'B', 'OW1', 'T']]",4,"MINOR LEXICAL
",a boat
9,0,0,0,4,[],0,[['No arpabet available']],creepiest,"[('No arpabet available', 'M')]","NO STRESS SIMILARITY
","[['M', 'EY1', 'B', 'IY0', 'AH0', 'S', 'T', 'OW1', 'V'], ['M', 'EY1', 'B', 'IY0', 'EY1', 'S', 'T', 'OW1', 'V']]",0,"PHONETIC SIMILARITY
",maybe a stove
10,9,2,2,3,"[('EH1', 'AY1'), ('K', 'T'), ('L', 'DH'), ('S', 'L')]",2,"[['R', 'EH1', 'K', 'L', 'AH0', 'S']]",reckless,"[('EH1', 'AY1'), ('K', 'T'), ('L', 'DH'), ('AH0', 'IY0'), ('S', 'L')]","STRESS SIMILARITY
","[['R', 'AY1', 'T', 'DH', 'AH0', 'L', 'IH1', 'S', 'T'], ['R', 'AY1', 'T', 'DH', 'AH1', 'L', 'IH1', 'S', 'T'], ['R', 'AY1', 'T', 'DH', 'IY0', 'L', 'IH1', 'S', 'T']]",6,"NO PHONETIC SIMILARITY
",write the list
11,4,1,1,2,"[('IH1', 'AY1')]",1,"[['IH1', 'T'], ['IH0', 'T']]",it,"[('IH1', 'AY1')]","STRESS SIMILARITY
","[['AY1', 'P', 'UH1', 'T']]",2,"PHONETIC SIMILARITY
",I put
12,5,2,2,3,"[('IH1', 'EY1'), ('L', 'D')]",2,"[['R', 'IH1', 'L', 'IY0'], ['R', 'IY1', 'L', 'IY0']]",really,"[('IY1', 'EY1'), ('L', 'D')]","STRESS SIMILARITY
","[['R', 'EY1', 'D', 'IY0', 'OW2']]",4,"PHONETIC SIMILARITY
",radio
13,3,1,1,1,"[('W', 'AE1')]",1,"[['W', 'AA1', 'Z'], ['W', 'AH1', 'Z'], ['W', 'AH0', 'Z'], ['W', 'AO1', 'Z']]",was,"[('W', 'EH1')]","STRESS SIMILARITY
","[['AE1', 'Z'], ['EH1', 'Z']]",2,"PHONETIC SIMILARITY
",as
14,0,0,1,1,[],1,"[['IH1', 'Z'], ['IH0', 'Z']]",is,"[('IH1', 'V'), ('Z', 'EH1')]","STRESS SIMILARITY
","[['V', 'EH1', 'S', 'T']]",0,"PHONETIC SIMILARITY
",vest
15,4,1,1,1,"[('IH0', 'Z')]",1,"[['JH', 'AH1', 'S', 'T'], ['JH', 'IH0', 'S', 'T']]",just,"[('IH0', 'Z')]","STRESS SIMILARITY
","[['IH1', 'Z'], ['IH0', 'Z']]",2,"PHONETIC SIMILARITY
",is
16,3,3,1,1,[],1,"[['F', 'AO1', 'R'], ['F', 'ER0'], ['F', 'R', 'ER0']]",for,[],"STRESS SIMILARITY
","[['F', 'AO1', 'R']]",3,"HOMOPHONES
",four
17,3,2,1,1,"[('M', 'N')]",1,"[['S', 'AH1', 'M']]",some,"[('M', 'N')]","STRESS SIMILARITY
","[['S', 'AH1', 'N']]",3,"MINOR LEXICAL
",sun
18,0,0,1,1,[],1,"[['F', 'AO1', 'R'], ['F', 'ER0'], ['F', 'R', 'ER0']]",for,"[('F', 'B'), ('AO1', 'AH1'), ('R', 'T')]","STRESS SIMILARITY
","[['B', 'AH1', 'T']]",0,"PHONETIC SIMILARITY
",but
19,3,2,1,1,"[('M', 'N')]",1,"[['S', 'AH1', 'M']]",some,"[('M', 'N')]","STRESS SIMILARITY
","[['S', 'AH1', 'N']]",3,"MINOR LEXICAL
",sun
20,3,3,1,1,[],1,"[['HH', 'OW1', 'L']]",whole,[],"STRESS SIMILARITY
","[['HH', 'OW1', 'L']]",3,"HOMOPHONES
",hole
21,10,8,2,4,[],3,"[['S', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'N', 'T']]",sufficient,[],"NO STRESS SIMILARITY
","[['S', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'N', 'T', 'L', 'IY0']]",8,"MINOR LEXICAL
",sufficiently
22,3,2,1,1,"[('D', 'P')]",1,"[['R', 'OW1', 'D']]",road,"[('D', 'P')]","STRESS SIMILARITY
","[['R', 'OW1', 'P']]",3,"MINOR LEXICAL
",rope
23,4,2,1,1,"[('F', 'S')]",1,"[['F', 'AO1', 'R'], ['F', 'ER0'], ['F', 'R', 'ER0']]",for,"[('F', 'S')]","STRESS SIMILARITY
","[['S', 'AO1', 'R', 'T']]",3,"MINOR LEXICAL
",sort
24,0,0,0,1,[],1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('DH', 'AH0'), ('IY0', 'V')]","NO STRESS SIMILARITY
","[['AH1', 'V'], ['AH0', 'V']]",0,"PHONETIC SIMILARITY
",of
25,3,1,1,1,"[('Y', 'W'), ('UH1', 'IY1')]",1,"[['Y', 'UH1', 'R'], ['Y', 'UW1', 'R']]",you're,"[('Y', 'W'), ('UW1', 'ER1')]","STRESS SIMILARITY
","[['W', 'IY1', 'R'], ['W', 'IH1', 'R'], ['W', 'ER1']]",3,"MINOR LEXICAL
",we're
26,3,2,1,1,"[('T', 'P')]",1,"[['SH', 'IH1', 'T']]",shit,"[('T', 'P')]","STRESS SIMILARITY
","[['SH', 'IH1', 'P']]",3,"MINOR LEXICAL
",ship
27,3,1,1,1,"[('EH1', 'AE1')]",1,"[['Y', 'EH1', 'S']]",yes,"[('EH1', 'AE1')]","STRESS SIMILARITY
","[['Y', 'AE1']]",2,"PHONETIC SIMILARITY
",yeah
28,0,0,0,1,[],1,"[['AE1', 'T']]",at,"[('AE1', 'S'), ('T', 'OW1')]","NO STRESS SIMILARITY
","[['S', 'OW1']]",0,"PHONETIC SIMILARITY
",so
