Hypothesized Word (H),Reference Word (R),H - POS TAG,R - POS TAG,H - Saliency Score,R - Saliency Score,Sentiment Orientation,H - Num. Phonemes,R - Num. Phonemes,H - Word Type,R - Word Type,R - Importance Score
hello,hello,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.4974091387196573
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.5923276150321564
name,name,NN,NN,0,0,0,1,0,CONTENT,CONTENT,3.024265253836626
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,2.440948464688943
karthik,karthik,NN,NN,0,0,0,7,0,CONTENT,CONTENT,3.0645861710612494
i'm,i'm,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.194025595373267
finally,a,RB,DT,0.14285714285714285,0,0,3,0,CONTENT,FUNCTION,2.639617875590454
,final,,JJ,-1,0.20000000000000001,0,3,0,,CONTENT,2.9328050714087746
here,year,RB,NN,0,0.25,0,1,0,CONTENT,CONTENT,3.2421126156024664
at,%HESITATION,IN,NN,0,0.1270830109408945,0,1,0,,CONTENT,3.1357044307419324
my,masters,PRP$,NNS,0,0.14285714285714285,0,1,0,,CONTENT,2.4063751705480683
sisters,student,NN,NN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,3.081011470581889
and,in,CC,IN,0,0,0,1,0,,FUNCTION,2.7919490032051173
computer,computer,NN,NN,0.125,0.125,0,3,0,CONTENT,CONTENT,2.827432120555818
engineering,engineering,NN,NN,0.090909090909090912,0.090909090909090912,0,4,0,CONTENT,CONTENT,2.991249458363282
i'm,i'm,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.194025595373267
a,a,DT,DT,0,0,0,1,0,,FUNCTION,2.639617875590454
finally,final,RB,JJ,0.14285714285714285,0.20000000000000001,0,3,0,CONTENT,CONTENT,2.948536207532158
,year,,NN,-1,0.25,0,3,0,,CONTENT,3.0444688273682448
a,a,DT,DT,0,0,0,1,0,,FUNCTION,3.076151346734502
master,master,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.528189312477175
student,student,NN,NN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,3.1525840039001967
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.7919490032051173
computer,computer,NN,NN,0.125,0.125,0,3,0,CONTENT,CONTENT,2.827432120555818
engineering,engineering,NN,NN,0.090909090909090912,0.090909090909090912,0,4,0,CONTENT,CONTENT,2.991249458363282
final,final,JJ,JJ,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.8883904710220722
year,year,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2421126156024664
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.655934674261051
watch,watch,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.513844028819205
fell,fell,VBD,VBD,0.25,0.25,0,1,0,CONTENT,CONTENT,3.146645680439872
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.937496473061829
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.297000604039352
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.248281603384566
prevailing,prevailing,VBG,VBG,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,2.9362600275315276
winds,winds,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.2317948915523553
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.928684571854609
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.3262364769103163
east,east,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2522175441797
i'm,i'm,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.2676165321286494
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.8249231194015794
india,india,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.5080365362863564
where,where,WRB,WRB,0,0,0,1,0,CONTENT,CONTENT,2.4889168255602434
are,are,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,2.4003129033622703
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,3.176952681804729
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.0226034990718627
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,0.7342812903270978
,too,,RB,-1,0,0,2,0,,CONTENT,3.0692407015703695
division,rich,NN,JJ,0.125,0.25,1,3,0,CONTENT,CONTENT,2.0212668184480944
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,1.911078529378885
to,too,TO,RB,0,0,0,1,0,,CONTENT,3.135547424156796
10,thin,CD,JJ,0.5,0,1,2,0,,CONTENT,2.9009612774303406
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,0.7342812903270978
too,too,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.939214638536121
rich,rich,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,3.111929949859297
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.468006677213817
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,1.1854716837475632
to,too,TO,RB,0,0,0,1,0,,CONTENT,3.135547424156796
10,thin,CD,JJ,0.5,0,1,2,0,,CONTENT,2.9009612774303406
thin,thin,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,3.3219280948873613
breathing,breathing,NN,NN,0.1111111111111111,0.1111111111111111,0,2,0,CONTENT,CONTENT,2.7847481196594184
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,3.0881120632678525
difficult,difficult,JJ,JJ,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,3.0194945836433082
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.490660011592552
can,can,MD,MD,0,0,0,1,0,,FUNCTION,2.8943132927603115
see,see,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.8887820650196367
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.8342315867132597
rings,rings,VBZ,VBZ,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.960527606707816
on,on,IN,IN,0,0,0,1,0,,FUNCTION,3.062349135034502
saturn,saturn,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.493897325654115
i'm,i'm,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,2.5116800014480223
doing,doing,VBG,VBG,0,0,0,2,0,CONTENT,CONTENT,2.3559316228805134
computer,computer,NN,NN,0.125,0.125,0,3,0,CONTENT,CONTENT,2.8815597912488293
hardware,hardware,NN,NN,0.125,0.125,0,2,0,CONTENT,CONTENT,3.0555239260533247
engineering,engineering,NN,NN,0.090909090909090912,0.090909090909090912,0,4,0,CONTENT,CONTENT,2.900212054041611
so,so,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.7834783955028506
what,what,WP,WP,0,0,0,1,0,,FUNCTION,1.6930550714420831
do,do,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,1.081114877796621
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,1.4567186426649323
think,think,VBP,VBP,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.003381769791357
should,should,MD,MD,0,0,0,1,0,,FUNCTION,1.9145146674522893
be,be,VB,VB,0,0,0,1,0,CONTENT,CONTENT,3.1495172669460074
the,the,DT,DT,0,0,0,1,0,,FUNCTION,0.4152863653582858
most,most,JJS,JJS,0,0,0,1,0,CONTENT,CONTENT,1.1660640444027948
important,important,JJ,JJ,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,2.505301257114666
thing,thing,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.992437375036789
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,2.9455371660906655
should,should,MD,MD,0,0,0,1,0,,FUNCTION,3.0242730661770247
get,get,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.242869713244305
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.6181081269514705
think,think,VBP,VBP,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.1440696604141234
lifejackets,lifejackets,NN,NN,0,0,0,11,0,CONTENT,CONTENT,3.167646610067731
don't,don't,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.515384095819795
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,1.2862113804977418
can,think,MD,VBP,0,0.20000000000000001,0,1,0,,CONTENT,1.6082643860863908
find,fire,VB,NN,0,0,0,1,0,CONTENT,CONTENT,1.464102636706529
on,on,IN,IN,0,0,0,1,0,,FUNCTION,2.1568071957173247
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.6091532579779693
yatch,yacht,NN,NN,0,0.20000000000000001,0,5,0,CONTENT,CONTENT,3.216638440666517
don't,don't,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.515384095819795
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,1.2862113804977418
think,think,VBP,VBP,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.6082643860863908
file,fire,VB,NN,0.25,0,0,1,0,CONTENT,CONTENT,1.464102636706529
and,on,CC,IN,0,0,0,1,0,,FUNCTION,2.1568071957173247
they,the,PRP,DT,0,0,0,1,0,,FUNCTION,2.6091532579779693
,yacht,,NN,-1,0.20000000000000001,0,1,0,,CONTENT,2.5648552768878536
could,would,MD,MD,0,0,0,1,0,,FUNCTION,2.9820601192724956
be,be,VB,VB,0,0,0,1,0,CONTENT,CONTENT,3.171956808988165
